x0001,y0001
-0.6852941176,-0.0016537579
-0.6843137255,-0.0016069831
-0.6833333333,-0.0015618898
-0.6823529412,-0.0015262299
-0.6813725490,-0.0015059742
-0.6803921569,-0.0015039688
-0.6794117647,-0.0015192608
-0.6784313725,-0.0015472696
-0.6774509804,-0.0015807496
-0.6764705882,-0.0016113213
-0.6754901961,-0.001631223
-0.6745098039,-0.001634894
-0.6735294118,-0.0016200303
-0.6725490196,-0.0015878864
-0.6715686275,-0.0015427746
-0.6705882353,-0.0014908822
-0.6696078431,-0.0014386888
-0.668627451,-0.0013913633
-0.6676470588,-0.0013515115
-0.6666666667,-0.0013185813
-0.6656862745,-0.0012890775
-0.6647058824,-0.0012575508
-0.6637254902,-0.0012181466
-0.6627450980,-0.0011663564
-0.6617647059,-0.0011005414
-0.6607843137,-0.0010228503
-0.6598039216,-0.0009392541
-0.6588235294,-0.0008586347
-0.6578431373,-0.0007910776
-0.6568627451,-0.0007457151
-0.6558823529,-0.0007286058
-0.6549019608,-0.0007411337
-0.6539215686,-0.0007793444
-0.6529411765,-0.0008344099
-0.6519607843,-0.0008941906
-0.6509803922,-0.0009455878
-0.65,-0.0009772026
-0.6490196078,-0.0009817312
-0.6480392157,-0.0009575669
-0.6470588235,-0.0009092502
-0.6460784314,-0.0008466581
-0.6450980392,-0.0007830984
-0.6441176471,-0.0007327191
-0.6431372549,-0.0007077784
-0.6421568627,-0.0007163521
-0.6411764706,-0.0007609387
-0.6401960784,-0.0008382166
-0.6392156863,-0.0009399549
-0.6382352941,-0.0010548324
-0.637254902,-0.0011707416
-0.6362745098,-0.0012770786
-0.6352941176,-0.0013665529
-0.6343137255,-0.0014361978
-0.6333333333,-0.0014874235
-0.6323529412,-0.0015251967
-0.6313725490,-0.001556569
-0.6303921569,-0.0015888998
-0.6294117647,-0.0016281523
-0.6284313725,-0.0016775823
-0.6274509804,-0.0017370436
-0.6264705882,-0.0018029995
-0.6254901961,-0.0018691941
-0.6245098039,-0.0019278179
-0.6235294118,-0.0019709438
-0.6225490196,-0.001991956
-0.6215686275,-0.00198674
-0.6205882353,-0.0019544342
-0.6196078431,-0.0018976423
-0.618627451,-0.0018220833
-0.6176470588,-0.0017357584
