x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014,x0015,y0015,x0016,y0016,x0017,y0017,x0018,y0018,x0019,y0019,x0020,y0020,x0021,y0021
-0.0294117647,9.9956931113,-0.0294117647,12.0006362218,-0.0294117647,14.0024344419,-0.0294117647,15.9979161308,-0.0294117647,17.9945424883,-0.0294117647,20.0069906769,-0.0294117647,21.9871583841,-0.0294117647,24.0062875107,-0.0294117647,26.0044061086,-0.0294117647,27.9968102931,-0.0294117647,29.9850333015,-0.0294117647,32.0035535332,-0.0294117647,34.0214372201,-0.0294117647,36.0037397926,-0.0294117647,38.0381871099,-0.0294117647,40.0410329673,-0.0294117647,41.9992199471,-0.0294117647,43.9803996509,-0.0294117647,46.016163575,-0.0294117647,48.0146158366,-0.0294117647,49.9841734486,-0.0294117647,8.0219061813
-0.0284313725,9.9957093201,-0.0284313725,12.000458291,-0.0284313725,14.0025760141,-0.0284313725,15.9979499225,-0.0284313725,17.9939800021,-0.0284313725,20.0073283703,-0.0284313725,21.9856165021,-0.0284313725,24.0061410233,-0.0284313725,26.0035808420,-0.0284313725,27.9975805266,-0.0284313725,29.9837584295,-0.0284313725,32.0048908277,-0.0284313725,34.0210664667,-0.0284313725,36.006282305,-0.0284313725,38.0373097934,-0.0284313725,40.0450426625,-0.0284313725,42.0009013203,-0.0284313725,43.9825449179,-0.0284313725,46.0174125366,-0.0284313725,48.0188758661,-0.0284313725,49.9835815607,-0.0284313725,8.0174426851
-0.0274509804,9.9957755318,-0.0274509804,12.0003392083,-0.0274509804,14.0025720275,-0.0274509804,15.9979381228,-0.0274509804,17.9934177673,-0.0274509804,20.0073326265,-0.0274509804,21.9840998802,-0.0274509804,24.0060773959,-0.0274509804,26.0031661144,-0.0274509804,27.9983223215,-0.0274509804,29.9824294132,-0.0274509804,32.0070223910,-0.0274509804,34.0210201885,-0.0274509804,36.0097050442,-0.0274509804,38.0360446463,-0.0274509804,40.0483772783,-0.0274509804,42.0023924807,-0.0274509804,43.9852811545,-0.0274509804,46.0188770827,-0.0274509804,48.0217200304,-0.0274509804,49.9836925458,-0.0274509804,8.0100723255
-0.0264705882,9.9958459069,-0.0264705882,12.0003196182,-0.0264705882,14.0024213457,-0.0264705882,15.9979291392,-0.0264705882,17.9929519968,-0.0264705882,20.0069628367,-0.0264705882,21.9826623063,-0.0264705882,24.0060772583,-0.0264705882,26.0033458873,-0.0264705882,27.9989523228,-0.0264705882,29.9812118868,-0.0264705882,32.0097076458,-0.0264705882,34.0214222133,-0.0264705882,36.0136209859,-0.0264705882,38.0343370228,-0.0264705882,40.0509215340,-0.0264705882,42.0038910308,-0.0264705882,43.9880281759,-0.0264705882,46.0203631869,-0.0264705882,48.0224996868,-0.0264705882,49.9844552098,-0.0264705882,8.0013374594
-0.0254901961,9.9958832213,-0.0254901961,12.0004107472,-0.0254901961,14.002142467,-0.0254901961,15.9979757477,-0.0254901961,17.9926641967,-0.0254901961,20.0062354108,-0.0254901961,21.9813452933,-0.0254901961,24.0060796869,-0.0254901961,26.0042091383,-0.0254901961,27.9994205253,-0.0254901961,29.9802451389,-0.0254901961,32.0125639486,-0.0254901961,34.0223107864,-0.0254901961,36.0175654772,-0.0254901961,38.0321998419,-0.0254901961,40.0526462922,-0.0254901961,42.0055757129,-0.0254901961,43.9902347391,-0.0254901961,46.0216551759,-0.0254901961,48.0208727744,-0.0254901961,49.9858063075,-0.0254901961,7.9933875802
-0.0245098039,9.9958642309,-0.0245098039,12.0005935221,-0.0245098039,14.0017683013,-0.0245098039,15.998117914,-0.0245098039,17.9926075455,-0.0245098039,20.0052165619,-0.0245098039,21.9801772225,-0.0245098039,24.005992803,-0.0245098039,26.0057306578,-0.0245098039,27.9997091461,-0.0245098039,29.9796107724,-0.0245098039,32.0151335777,-0.0245098039,34.0236374517,-0.0245098039,36.0210769907,-0.0245098039,38.0297045488,-0.0245098039,40.0536170798,-0.0245098039,42.0075942691,-0.0245098039,43.9914853457,-0.0245098039,46.0225506504,-0.0245098039,48.0168713988,-0.0245098039,49.9876694044,-0.0245098039,7.9885257366
-0.0235294118,9.9957814534,-0.0235294118,12.0008248302,-0.0235294118,14.0013393326,-0.0235294118,15.9983685349,-0.0235294118,17.9927986574,-0.0235294118,20.0040068531,-0.0235294118,21.9791749926,-0.0235294118,24.0057121541,-0.0235294118,26.007772361,-0.0235294118,27.9998252678,-0.0235294118,29.9793155342,-0.0235294118,32.0169678025,-0.0235294118,34.0252768835,-0.0235294118,36.0237731377,-0.0235294118,38.0269544634,-0.0235294118,40.0539900658,-0.0235294118,42.0100568050,-0.0235294118,43.9915801227,-0.0235294118,46.0228938494,-0.0235294118,48.0109087309,-0.0235294118,49.9899456889,-0.0235294118,7.9886406521
-0.0225490196,9.9956414577,-0.0225490196,12.0010491764,-0.0225490196,14.0008965213,-0.0225490196,15.9987055802,-0.0225490196,17.9932160078,-0.0225490196,20.0027212009,-0.0225490196,21.9783478686,-0.0225490196,24.0051438251,-0.0225490196,26.0101054266,-0.0225490196,27.9997905604,-0.0225490196,29.9792928626,-0.0225490196,32.0177114811,-0.0225490196,34.0270455457,-0.0225490196,36.0254078451,-0.0225490196,38.0240479687,-0.0225490196,40.053994315,-0.0225490196,42.013032474,-0.0225490196,43.9905720301,-0.0225490196,46.0226030325,-0.0225490196,48.0037206027,-0.0225490196,49.9925044392,-0.0225490196,7.994651555
-0.0215686275,9.9954604819,-0.0215686275,12.0012127859,-0.0215686275,14.0004751914,-0.0215686275,15.9990726531,-0.0215686275,17.9938050303,-0.0215686275,20.0014685877,-0.0215686275,21.9777028605,-0.0215686275,24.0042278813,-0.0215686275,26.0124496271,-0.0215686275,27.9996315602,-0.0215686275,29.9794233558,-0.0215686275,32.0171715209,-0.0215686275,34.0287264474,-0.0215686275,36.0259001096,-0.0215686275,38.0210420722,-0.0215686275,40.0539017000,-0.0215686275,42.0165474295,-0.0215686275,43.988754071,-0.0215686275,46.0216881027,-0.0215686275,47.9962514989,-0.0215686275,49.9951793311,-0.0215686275,8.0061098513
-0.0205882353,9.9952587123,-0.0205882353,12.0012767504,-0.0205882353,14.0001008552,-0.0205882353,15.9993880734,-0.0205882353,17.9944886846,-0.0205882353,20.0003353933,-0.0205882353,21.9772504961,-0.0205882353,24.0029572614,-0.0205882353,26.0145228818,-0.0205882353,27.9993732350,-0.0205882353,29.9795694968,-0.0205882353,32.0153557036,-0.0205882353,34.030097018,-0.0205882353,36.0253312460,-0.0205882353,38.0179271273,-0.0205882353,40.0539877096,-0.0205882353,42.0205826645,-0.0205882353,43.986598805,-0.0205882353,46.020255689,-0.0205882353,47.9895042808,-0.0205882353,49.9977741494,-0.0205882353,8.0210855874
